,Ub,Ur,Uf,Ul,Lu,Lf,Ld,Lb,Fu,Fr,Fd,Fl,Ru,Rb,Rd,Rf,Bu,Bl,Bd,Br,Df,Dr,Db,Dl
Ub,,,,,,,,,,,,,,,,,,,,,,,,
Ur,"[Rw' y: [U2, r' E r]]",,,,,,,,,,,,,,,,,,,,,,,
Uf,,,,,,,,,,,,,,,,,,,,,,,,
Ul,"[Lw y: [U2, r E' r']]","[3Lw U: [M', U l' U']]",,,,,,,,,,,,,,,,,,,,,,
Lu,"[U2, M u' M']","[M' u M, U]",,"[M' u M, U']",,,,,,,,,,,,,,,,,,,,
Lf,"[U': [r' E' r, U2]]","[U', r' E r]",,"[U, l' E' l]","[z: [r E r', U']]",,,,,,,,,,,,,,,,,,,
Ld,"[M d M', U2]","[M d M', U]",,"[M d M', U']","[z: [r E r', U2]]","[z: [U, l E' l']]",,,,,,,,,,,,,,,,,,
Lb,"[U': [r E' r', U2]]","[U', r E' r']",,"[U, l E l']","[z: [r E r', U]]","[z U: [l E' l', U2]]","[z: [L E' L', U']]",,,,,,,,,,,,,,,,,
Fu,"[y U': [M' u M, U2]]","[y': [U', M u M']]",,"[y: [U, M u' M']]","[y': [M' U' M, u]]","[z r: [U', r E r']]","[z r: [U2, r E r']]","[z r: [U, r E r']]",,,,,,,,,,,,,,,,
Fr,"[y: [U2, r' E r]]","[x: [r', U M U']]",,"[U, l' E2 l]","[Uw': [r, U' M' U]]","[E, r U' r']","[Dw: [U' r U, M']]","[r: [r E' r', U']]","[U': [U' M' U, r]]",,,,,,,,,,,,,,,
Fd,"[y' U': [M d' M', U2]]","[x: [U' r' U, M]]",,"[x: [U l U', M]]","[z: [l' U2 l, E']]","[M', 3Uw' r 3Uw]","[U: [d, M' U' M]]","[z: [l' U' l, E']]","[z x U': [M u M', U2]]","[M', U' r U]",,,,,,,,,,,,,,
Fl,"[y: [U2, r E' r']]","[U', r E2 r']",,"[x: [l, U' M U]]","[L': [E, l' U l]]","[l': [U, l' E' l]]","[Dw: [U l' U', M']]","[E, l' U l]","[U: [l', U M' U']]","[r: [U', r E2 r']]","[U l' U', M']",,,,,,,,,,,,,
Ru,"[U2, M u M']","[M' u' M, U]]",,"[M' u' M, U']]","[y': [M' U' M, u2]]","[y: [U M' U', l]]","[Uw' M: [U, M d M']]","[z r': [r' U r, E]]","[U: [M' U M, u]]","[R: [r U' r', E']]","[z': [E, r U2 r']]","[Uw: [U M' U', l']]",,,,,,,,,,,,
Rb,"[U: [l' E l, U2]]","[U', r' E' r]",,"[U, l' E l]","[z' l: [E', l U' l']]","[E: [r U' r', E2]]","[y' U: [U l U', M']]","[x d': [M U2 M', d2]]","[z' l': [l' E' l, U']]","[r U' r', E']","[z': [E, r U r']]","[l': [U, l' E l]]","[z': [l' E' l, U']]",,,,,,,,,,,
Rd,"[M d' M', U2]","[M d' M', U]",,"[M d' M', U']","[x' z': [U l' U', M2]]","[y: [U' M' U, l]]","[y': [M' U M, d2]]","[y U': [M', U' r' U]]","[z' l': [l' E' l, U2]]","[Dw': [M', U' r U]]","[U: [M' U' M, d']]","[Dw': [M', U l' U']]","[z': [U2, r' E r]]","[z': [U, r' E r]]",,,,,,,,,,
Rf,"[U: [l E' l', U2]]","[U', r E r']",,"[U, l E' l']","[y': [r', U' M' U]]","[R y: [U M' U', l]]","[y': [r, U M' U']]","[E: [l' U l, E2]]","[z' l': [l' E' l, U]]","[r: [U', r E r']]","[z': [E, r U' r']]","[l' U l, E']","[y: [l', U M' U']]","[z' U: [r' E r, U2]]","[z': [r' E' r, U']]",,,,,,,,,
Bu,"[y U: [M u M', U2]]","[x': [U' r U, M']]",,"[x': [U l' U', M']]","[y': [M' U' M, u']]","[M, 3Uw' r 3Uw]","[z: [r' U2 r, E]]","[z: [r' U r, E]]","[y' u': [M' U M, u2]]","[M, U' r U]","[U' x': [M2, U' r U]]","[M, U l' U']","[Uw': [M U M', u]]","[z': [l U' l', E']]","[z': [l U2 l', E']]","[M, 3Uw' r' 3Uw]",,,,,,,,
Bl,"[y: [U2, r' E' r]]","[U', r' E2 r]",,"[x': [l', U' M' U]]","[L: [E', l U l']]","[E', l U l']","[Dw: [U l U', M']]","[l: [l E l', U]]","[U: [l, U M' U']]","[r U' r', E2]","[U l U', M']","[x': [l2, U' M' U]]","[Uw: [l, U M' U']]","[E, l U l']","[l: [U', M d' M']]","[l: [l E' l', U]]","[U l U', M]",,,,,,,
Bd,"[y U': [M d' M', U2]]","[y: [U', M d' M']]",,"[y': [U, M d M']]","[z l: [U2, l E' l']]","[3Uw': [U' M' U, r']]","[y': [M' U M, d]]","[L' y': [M' U M, d]]","[U' x': [M2, U r U']]","[U': [U' M U, r]]","[y d: [M' U' M, d2]]","[U: [U M U', l']]","[z' r': [U2, r' E r]]","[z' r': [U, r' E r]]","[y: [M' U' M, d']]","[z' r': [U', r' E r]]","[z' x' U': [M d M', U2]]","[U: [U M U', l]]",,,,,,
Br,"[y: [U2, r E r']]","[x': [r, U M' U']]",,"[U, l E2 l']","[U': [r', Uw' M' Uw]]","[r': [r' E r, U']]","[Dw: [U' r' U, M']]","[E', r' U' r]","[U': [U' M' U, r']]","[x: [U M U', r2]]","[U' r' U, M']","[l' U l, E2]","[Uw': [r', U M U']]","[r': [r' E' r, U']]","[Dw': [U' r' U, M']]","[E, r' U' r]","[U' r' U, M]","[r': [r' E2 r, U']]","[U': [r', U' M U]]",,,,,
