,UBl,URb,UFr,ULf,LUb,LFu,LDf ,LBd,FUl,FRu,FDr,FLd,RUf,RBu,RDb,RFd,BUr,BLu,BDl,BRd,DFl,DRf,DBr,DLb
UBl,,,,,,,,,,,,,,,,,,,,,,,,
URb,"[Rw' U: [U r U', R]]",,,,,,,,,,,,,,,,,,,,,,,
UFr,,,,,,,,,,,,,,,,,,,,,,,,
ULf,"[Lw' U: [L, U l U']]","[Rw' U': [U' R U, r]]",,,,,,,,,,,,,,,,,,,,,,
LUb,"[x' U: [U r2 U', L']]","[U': [Rw U R' U', l']]",,"[Rw' y r': [U2, r' D r]]",,,,,,,,,,,,,,,,,,,,
LFu,"[L: [r' D r, U2]]","[x' R: [D, r U r']]",,"[z' L': [U' l' U, L']]","[L: [L, D r' D']]",,,,,,,,,,,,,,,,,,,
LDf ,"[r' D r, U2]","[r' D r, U]",,"[r' D r, U']","[L2, D r' D']","[L, D r' D']",,,,,,,,,,,,,,,,,,
LBd,"[L': [U2, l' D' l]]","[x Rw': [r' D r, U]]",,"[x Rw' D: [r, U L U']]","[x': [L', U r2 U']]","[x': [L2, U r2 U']]","[D r' D', L']",,,,,,,,,,,,,,,,,
FUl,"[Lw' D': [l' D l, U2]]","[Rw2: [r' U2 r, D]]",,"[Lw U: [U l2 U', L']]","[x' Rw2 U': [U' l' U, L']]","[Rw' U: [L', U r2 U']]","[l': [l' D' l, U2]]","[x' Rw': [r' D r, U2]]",,,,,,,,,,,,,,,,
FRu,"[Lw' U': [R, U' l U]]","[x' R: [U r U', R]]",,"[z: [R, U' r2 U]]","[z' D: [l', U L' U']]","[z': [l', U L' U']]","[D: [U' R U, r]]","[x r': [U, r' D r]]","[Lw2 U': [R, U' l U]]",,,,,,,,,,,,,,,
FDr,"[D': [r' D r, U2]]","[R: [r, U' R' U]]",,"[x: [U L U', r']]","[x: [U' L U, r]]","[D' L D, r']","[x: [r, U' L' U]]","[r: [r, U' L U]]","[3Lw' D': [r' D r, U2]]","[r, U' R U]",,,,,,,,,,,,,,
FLd,"[Rw' U': [U' r U, L']]","[z': [L', U r2 U']]",,"[x' L': [U' r U, L']]","[x' Rw2 D': [r', U' L' U]]","[u x': [U' r U, L2]]","[D: [U L' U', r]]","[z: [U' R U, l]]","[Lw2 U: [L, U l U']]","[z U': [U' r2 U, R]]","[U L' U', r]",,,,,,,,,,,,,
RUf,"[x' U': [U' r2 U, R]]","[U Lw U: [L', U l2 U']]",,"[U': [R U' R' U, r']]","[Rw' U: [r2, U R U']]","[r' U': [U' L' U, r2]]","[D x: [r, U R' U']]","[x' U: [r2, U R U']]","[Rw' U': [U' r2 U, R]]","[F: [U' r2 U, R]]","[Rw: [r, U R' U']]","[z D': [l', U' R U]]",,,,,,,,,,,,
RBu,"[R: [r' D' r, U2]]","[R D': [r, U' R' U]]",,"[R: [r' D' r, U']]","[x' U': [U' L' U, r2]]","[z' l': [U L' U', l2]]","[y' U: [U L U', r]]","[Rw' U: [U L U', r]]","[x r': [r' D' r, U2]]","[z': [U L' U', l]]","[r', D R D']","[r': [U', r' D' r]]","[x': [R, U' r2 U]]",,,,,,,,,,,
RDb,"[r' D' r, U2]","[r' D' r, U]",,"[r' D' r, U']","[Rw' U: [r2, U R' U']]","[y': [U' r U, L]]","[y': [r U r', D2]]","[x' U': [r, U' R' U]]","[Lw': [U2, l' D l]]","[D': [r, U' R U]]","[Rw: [U R U', r]]","[D': [r, U L' U']]","[R2, D' r' D]","[R, D' r' D]",,,,,,,,,,
RFd,"[R': [r' D' r, U2]]","[z R: [U l' U', R]]",,"[R': [r' D' r, U']]","[r' U: [r2, U R U']]","[R' y': [U' r U, L]]","[y': [R', U r U']]","[z l: [U' R U, l2]]","[Rw2 U': [U' r' U, R']]","[Dw x': [R2, U r U']]","[r', D R' D']","[z: [U' R U, l']]","[R2: [D' r' D, R]]","[x': [U' r2 U, R2]]","[D' r' D, R']",,,,,,,,,
BUr,"[Rw' D': [U2, r' D r]]","[R': [r', U' R U]]",,"[r', L' U L U']","[L' U' L U, r]","[U' L' U, r]","[U' L2 U, r]","[U' L U, r]","[Rw D: [r D' r', U2]]","[r', U' R U]","[D Rw: [r', U R U']]","[r', U L' U']","[R U R' U', r]","[U R' U', r]","[U R2 U', r]","[U R U', r]",,,,,,,,
BLu,"[r' U': [U' r U, L]]","[z': [L', U' l2 U]]",,"[x': [L', U' r U]]","[x D': [r', U' L U]]","[z: [r, U R U']]","[D: [U L U', r]]","[z' x' Rw': [r' D r, U2]]","[Lw2 U: [L', U l U']]","[z: [r2, U R U']]","[U L' U', r]","[x': [L2, U' r U]]","[x' R': [r U' r', D']]","[z: [r, U R U']]","[D': [U L U', r]]","[x': [r U' r', D']]","[U L U', r']",,,,,,,
BDl,"[D': [U2, l' D l]]","[r' D2 r, U]",,"[r' D2 r, U']","[x U': [U' l' U, L]]","[x': [r U2 r', D']]","[y': [r U r', D]]","[L' y': [r U r', D]]","[D' Lw': [U2, l' D l]]","[U': [U' r' U, R]]","[U: [r U' r', D2]]","[U: [U l U', L']]","[x U: [U l' U', R']]","[R y: [r U' r', D']]","[D, l U2 l']","[x': [D', r U2 r']]","[y': [L2, U r U']]","[U: [U l U', L]]",,,,,,
BRd,"[Lw' U': [R', U' l U]]","[x': [R, U r U']]",,"[z: [R, U l2 U']]","[Rw: [U, r D r']]","[x': [r U r', D]]","[D: [U' R' U, r]]","[z': [r', U' L' U]]","[x Lw: [U2, l D' l']]","[x': [R2, U' r2 U]]","[U' R' U, r]","[z': [r2, U' L' U]]","[x D: [r', U R' U']]","[z x' r': [r' D' r, U2]]","[D': [U' R' U, r]]","[z': [r, U' L' U]]","[U' R' U, r']","[Rw' U: [U L U', r]]","[U': [R, U' r' U]]",,,,,
DFl,"[Rw U2 l' U2 Rw', U2]","[x' R: [r U r', D2]]",,"[Lw U: [U l U', L']]","[r: [r D2 r', U]]","[Rw U': [U' l' U, L']]","[y': [R2, U r U']]","[Rw U': [U' l' U, L]]","[3Rw D: [U2, l D' l']]","[U': [U' l2 U, R]]","[x' Rw U: [r U' r', D2]]","[U: [U l2 U', L']]","[r: [r D2 r', U']]","[r U: [U l' U', R']]","[x Rw': [U2, r' D' r]]","[Rw: [r D2 r', U']]","[y: [L2, U' r' U]]","[U: [U l2 U', L]]","[U' x' L': [U R U', l]]","[U': [R', U' l2 U]]",,,,
DRf,"[Rw' U: [U r U', R']]","[x' R: [U r U', R2]]",,"[Rw' U': [r, U' R' U]]","[r: [r D r', U]]","[D r': [U' L' U, r2]]","[R2: [U, r' D r]]","[D r': [U' L U, r2]]","[r: [r D r', U2]]","[R', D r2 D']","[U' R2 U, r]","[D: [U L' U', r2]]","[r: [r D r', U']]","[D r': [U R' U', r2]]","[y' r: [D2, r U r']]","[D r': [U R U', r2]]","[U' R2 U, r']","[D: [r2, U L U']]","[x' U': [U r U', R']]","[x': [U r U', R']]","[r y: [D, l' U l]]",,,
DBr,"[U2, Lw U2 r' U2 Lw']","[r2, R U' R' U]",,"[r2, L' U L U']","[x: [r2, U' L U]]","[r: [U' L' U, r2]]","[x: [U' L' U, r2]]","[r': [U' L U, r2]]","[D r: [r D' r', U2]]","[r2, U' R U]","[U' Rw: [U' R' U, r]]","[r2, U L' U']","[Rw': [U R U', r2]]","[r': [U R' U', r2]]","[Rw': [U R' U', r2]]","[r': [U R U', r2]]","[D': [U' R2 U, r']]","[r2, U L U']","[U r: [r U' r', D2]]","[r2, U' R' U]","[x: [U2, Lw' U2 r U2 Lw]]","[R: [U' R U, r2]]",,
DLb,"[Lw' U: [L', U l U']]","[x' R U: [r, U L U']]",,"[x' L': [U' r U, L2]]","[r: [r D' r', U]]","[D' r': [U' L' U, r2]]","[y' Rw: [D2, r U' r']]","[Dw': [r2, U' R' U]]","[r: [r D' r', U2]]","[D': [r2, U' R U]]","[U L2 U', r]","[L, D r2 D']","[r: [r D' r', U']]","[D' r': [U R' U', r2]]","[L2: [U', r' D' r]]","[Rw: [r D' r', U']]","[U L2 U', r']","[x': [U' r U, L]]","[x' U': [U' r U, L]]","[D': [r2, U' R' U]]","[Rw y': [D', l' U' l]]","[R D': [r2, U' R U]]","[x Rw': [U L' U', r2]]",
,,,,,,,,,,,,,,,,,,,,,,,,
,Parity Algs,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
UBl,l' U2 l U2 l U2 r' U2 l U2 l' U2 x U2 l2 U2 r x',,,,,,,,,,,,,,,,,,,,,,,
URb,,,,,,,,,,,,,,,,,,,,,,,,
UFr,,,,,,,,,,,,,,,,,,,,,,,,
ULf,,,,,,,,,,,,,,,,,,,,,,,,
LUb,,,,,,,,,,,,,,,,,,,,,,,,
LFu,,,,,,,,,,,,,,,,,,,,,,,,
LDf ,,,,,,,,,,,,,,,,,,,,,,,,
LBd,,,,,,,,,,,,,,,,,,,,,,,,
FUl, Rw U2 x Rw U2 r U2 x' l' U2 l U2 r' U2 r U2 Rw' U2' Rw' ,,,,,,,,,,,,,,,,,,,,,,,
FRu,,,,,,,,,,,,,,,,,,,,,,,,
FDr,,,,,,,,,,,,,,,,,,,,,,,,
FLd,,,,,,,,,,,,,,,,,,,,,,,,
RUf,,,,,,,,,,,,,,,,,,,,,,,,
RBu,,,,,,,,,,,,,,,,,,,,,,,,
RDb,,,,,,,,,,,,,,,,,,,,,,,,
RFd,,,,,,,,,,,,,,,,,,,,,,,,
BUr,l' U2 l' U2 x U2 l' U2 r x' U2 r' U2 l2,,,,,,,,,,,,,,,,,,,,,,,
BLu,,,,,,,,,,,,,,,,,,,,,,,,
BDl, r2 U2 r U2 r' U2 l U2 r U2 r2 U2 r' U2 r' U2 l',,,,,,,,,,,,,,,,,,,,,,,
BRd,,,,,,,,,,,,,,,,,,,,,,,,
DFl,U2 l U2 l2 U2 l' U2 l' U2 r' l2 U2 l U2 l' U2 r,,,,,,,,,,,,,,,,,,,,,,,
DRf,,,,,,,,,,,,,,,,,,,,,,,,
DBr,r U2 r2 U2 r' U2 r' U2 l' r2 U2 r U2 r' U2 l U2 ,,,,,,,,,,,,,,,,,,,,,,,
DLb,,,,,,,,,,,,,,,,,,,,,,,,
