wall fr oriented,U R U' R' U' R U' R' U R U' R',R U' R' U R U2 R' U R U R'
wall fr oriented + U',U' R U R' U' R U' R' U2 R U' R',R' U' R U' R' U2 R2 U' R'
wall fr oriented + U2,R U R' U' R U' R' U2 R U' R',"R U2 R' U' R U' R' U R U' R',R2 U2 R' U' R U' R2"
wall fr oriented + U,R U' R' U' R U' R' U R U' R',""
wall fr misoriented,R U' R' U Rw U' R' U R U Rw',""
wall fr misoriented + U',R U R2 F R F' R U' R',""
wall fr misoriented + U2,U R U R2 F R F' R U' R',Rw U' Rw' U Rw U Rw' F' U' F
wall fr misoriented + U,U2 R U R2 F R F' R U' R',"M' U R U' Rw' R U2 R' U R U' R',F R' F' R2 U2 R' U R U R',F' L' U L F R U R'"
wall fl oriented,U' L' U L U L' U L U' L' U L,L' U L U' L' U2 L U' L' U' L
wall fl oriented + U',U L' U' L U L' U L U2 L' U L,L U L' U L U2 L2 U L
wall fl oriented + U2,L' U' L U L' U L U2 L' U L,"L' U2 L U L' U L U' L' U L,L2 U2 L U L' U L2"
wall fl oriented + U,L' U L U L' U L U' L' U L,""
wall fl misoriented,U L' U' L2 F' L' F L' U L,L' U L U' Lw' U L U' L' U' Lw
wall fl misoriented + U',L' U' L2 F' L' F L' U L,""
wall fl misoriented + U2,U' L' U' L2 F' L' F L' U L,R' F R U' R' F' R F U F'
wall fl misoriented + U,F R U' R' F' L' U' L,""
wall br oriented,R' U R U' R' U2 R U' R' U' R,""
wall br oriented + U',R' U R U R' U R U' R' U R,""
wall br oriented + U2,R' U' R U R' U R U2 R' U R,R2 U2 R U R' U R2
wall br oriented + U,U' R' U R U' R' U2 R U' R' U' R,R U R' U R U2 R2 U R
wall br misoriented,U R' F R' F' R2 U' R' U R,R' U R U' Rw' U R U' R' U' Rw
wall br misoriented + U',U2 R' F R' F' R2 U' R' U R,F R U R' U' F' R' U' R
wall br misoriented + U2,U' R' F R' F' R2 U' R' U R,""
wall br misoriented + U,R' F R' F' R2 U' R' U R,""
wall bl oriented,L U' L' U L U2 L' U L U L',""
wall bl oriented + U',L U' L' U' L U' L' U L U' L',""
wall bl oriented + U2,L U L' U' L U' L' U2 L U' L',L2 U2 L' U' L U' L2
wall bl oriented + U,U L U' L' U L U2 L' U L U L',L' U' L U' L' U2 L2 U' L'
wall bl misoriented,U' L F' L F L2 U L U' L',L U' L' U Lw U' L' U L U Lw'
wall bl misoriented + U',U2 L F' L F L2 U L U' L',F' L' U' L U F L U L'
wall bl misoriented + U2,U L F' L F L2 U L U' L',""
wall bl misoriented + U,L F' L F L2 U L U' L',""
roof fr oriented,M U L F' L' U' M',R U R' U2 R U' R' U R U' R'
roof fr oriented + U',U M U L F' L' U' M',Rw U' Rw' U' Rw U Rw' R U R'
roof fr oriented + U2,M' U R U' Rw' U2 R U' R',"R U R' U' R U2 R' U R U R',R U2 R' U' R' F' R U R U' R' F"
roof fr oriented + U,U' M U L F' L' U' M',"R' F R U R U' R2 F' R2 U2 R',R U' R' U' R' F' R U R U' R' F"
roof fr misoriented,U M' U R U' Rw' U' R U R',"Lw2 F' Lw' U Lw' U2 R U' R',R U' R' U2 F' U' F"
roof fr misoriented + U',U R U' R' U2 F' U' F,"M U Rw U' Rw' U' Rw U' R',Rw' R2 U R' U R U R' U2 M',Lw U' R U Lw' U2 R' U' R U R',R U2 R' Rw U' R' U R U Rw',R U R' U2 F' U' F U' R U R'"
roof fr misoriented + U2,U' M' U R U' Rw' U' R U R',R U R' Rw U' Rw' U2 Rw U Rw'
roof fr misoriented + U,M' U R U' Rw' U' R U R',"F R' F' R2 U' R' U2 R U' R',Rw U' Rw' U2 Rw U Rw' U' R U R'"
roof fl oriented,M U' R' F R U M',L' U' L U2 L' U L U' L' U L
roof fl oriented + U',U' M U' R' F R U M',R' F R U R' F' R L' U' L
roof fl oriented + U2,U' U' M U' R' F R U M',"M' U' L' U Lw U2 L' U L,L' U' L U L' U2 L U' L' U' L,L' U2 L U L F L' U' L' U L F'"
roof fl oriented + U,U M U' R' F R U M',"L F' L' U' L' U L2 F L2 U2 L,L' U L U L F L' U' L' U L F'"
roof fl misoriented,U M U' Lw' U Lw U Lw' U L,"Rw2 F Rw U' Rw U2 L' U L,L' U L U2 F U F'"
roof fl misoriented + U',M U' Lw' U Lw U Lw' U L,"Lw L2 U' L U' L' U' L U2 M',Rw' U L' U' Rw U2 L U L' U' L,L' U2 L Lw' U L U' L' U' Lw,L' U' L U2 F U F' U L' U' L"
roof fl misoriented + U2,U' M U' Lw' U Lw U Lw' U L,L' U' L Lw' U Lw U2 Lw' U' Lw
roof fl misoriented + U,M' U' L' U Lw U L' U' L,"F' L F L2 U L U2 L' U L,Lw' U Lw U2 Lw' U' Lw U L' U' L"
roof br oriented,R' U2 R U' R' U' R U' R' U R,R' U' R U2 R' U R U' R' U R
roof br oriented + U',U' R' U' R U R' U2 R U' R' U' R,"R' U2 R U R' U2 R U' R' U' R,U R' U2 R U' R' U' R U' R' U R"
roof br oriented + U2,R' U' R U R' U2 R U' R' U' R,M U' R' U Rw U2 R' U R
roof br oriented + U,U' R' U2 R U' R' U' R U' R' U R,U R' U' R U R' U2 R U' R' U' R
roof br misoriented,R2 F R F' R U2 R' U R,""
roof br misoriented + U',M U' R' U Rw U R' U' R,R' U2 R Rw' U Rw U2 Rw' U' Rw
roof br misoriented + U2,U' M' U' Rw' U Rw U Rw' U R,R' U' R Rw' U Rw U2 Rw' U' Rw
roof br misoriented + U,M' U' Rw' U Rw U Rw' U R,"R' U2 R Rw' U R U' R' U' Rw,R' F R' F' R U2 R U R' U' R"
roof bl oriented,L U L' U2 L U' L' U L U' L',L U2 L' U L U L' U L U' L'
roof bl oriented + U',U L U L' U' L U2 L' U L U L',"L U2 L' U' L U2 L' U L U L',U' L U L' U2 L U' L' U L U' L'"
roof bl oriented + U2,L U L' U' L U2 L' U L U L',M U L U' Lw' U2 L U' L'
roof bl oriented + U,U' L U L' U' L U2 L' U L U L',""
roof bl misoriented,L2 F' L' F L' U2 L U' L',""
roof bl misoriented + U',M U L U' Lw' U' L U L',L U2 L' Lw U' Lw' U2 Lw U Lw'
roof bl misoriented + U2,U M' U Lw U' Lw' U' Lw U' L',L U L' Lw U' Lw' U2 Lw U Lw'
roof bl misoriented + U,M' U Lw U' Lw' U' Lw U' L',"L U2 L' Lw U' L' U L U Lw',L F' L F L' U2 L' U' L U L'"
checkerboard fr oriented,R U' R' U R U' R' U2 R U' R',""
checkerboard fr oriented + U',U R U' R' U R U' R' U2 R U' R',""
checkerboard fr oriented + U2,U2 R U' R' U R U' R' U2 R U' R',R U2 R' U' R U R' U' R U R'
checkerboard fr oriented + U,R U' R' U' R U R' U' R U R',""
checkerboard fr misoriented,U' R U2 R' Dw R' U' R,"R U' R' U R U' R2 F R F' R U' R',F R' F' R U' R U' R' U R U' R',R U R' U M' U R U' Rw' U R U' R'"
checkerboard fr misoriented + U',R U2 R' Dw R' U' R,"R U2 R2 F R U R U' R2 F' R,R U B' R B R' U R'"
checkerboard fr misoriented + U2,U R U2 R' Dw R' U' R,""
checkerboard fr misoriented + U,U2 R U2 R' Dw R' U' R,""
checkerboard fl oriented,L' U L U' L' U L U2 L' U L,""
checkerboard fl oriented + U',U' L' U L U' L' U L U2 L' U L,""
checkerboard fl oriented + U2,L' U2 L U L' U' L U L' U' L,U2 L' U L U' L' U L U2 L' U L
checkerboard fl oriented + U,L' U L U L' U' L U L' U' L,""
checkerboard fl misoriented,U L' U2 L Dw' L U L',"L' U L U' L' U L2 F' L' F L' U L,F' L F L' U L' U L U' L' U L,L' U' L U' M' U' L' U Lw U' L' U L"
checkerboard fl misoriented + U',L' U2 L Dw' L U L',"L' U2 L2 F' L' U' L' U L2 F L',L' U' B L' B' L U' L"
checkerboard fl misoriented + U2,U' L' U2 L Dw' L U L',""
checkerboard fl misoriented + U,U2 L' U2 L Dw' L U L',""
checkerboard br oriented,R U2 R2 U' R R U' R',R' U R U' R' U R U2 R' U R
checkerboard br oriented + U',U R U2 R2 U' R R U' R',R' U R U R' U' R U R' U' R
checkerboard br oriented + U2,U2 R U2 R2 U' R R U' R',"R' U2 R U R' U' R U R' U' R,M U' R' U M' U R U' R' U' R"
checkerboard br oriented + U,U' R U2 R2 U' R R U' R',""
checkerboard br misoriented,U R' U' F R' F' R U' R,"R2 F R F' R U' R' U2 R U R' U' R,R' U R U' R' U R U' R' U R' F R F' R"
checkerboard br misoriented + U',U2 R' U' F R' F' R U' R,""
