OLL 1,R U2 R2 F R F' U2 R' F R F'
OLL 2,R' U2 r U' r' U2 r U r' U2 R
OLL 3,f R U R' U' f' U' F R U R' U' F'
OLL 4,f R U R' U' f' U F R U R' U' F'
OLL 5,r' U2 R U R' U r
OLL 6,r U2 R' U' R U' r'
OLL 7,r U R' U R U2 r'
OLL 8,r' U' R U' R' U2 r
OLL 9,R U R' U' R' F R2 U R' U' F'
OLL 10,R U R' U R' F R F' R U2 R'
OLL 11,r' R2 U R' U R U2 R' U M'
OLL 12,F R U R' U' F' U F R U R' U' F'
OLL 13,r U' r' U' r U r' F' U F
OLL 14,R' F R U R' F' R F U' F'
OLL 15,r' U' r R' U' R U r' U r
OLL 16,r U r' R U R' U' r U' r'
OLL 17,R U R' U R' F R F' U2 R' F R F'
OLL 18,r U R' U R U2 r2 U' R U' R' U2 r
OLL 19,M U R U R' U' M2 U R U' r'
OLL 28,r U R' U' M U R U' R'
OLL 29,R U R' U' R U' R' F' U' F R U R'
OLL 30,F U R U2 R' U' R U2 R' U' F'
OLL 31,R' U' F U R U' R' F' R
OLL 32,R U B' U' R' U R B R'
OLL 33,R U R' U' R' F R F'
OLL 34,R U R' U' B' R' F R F' B
OLL 35,R U2 R2 F R F' R U2 R'
OLL 36,R U R' F' R U R' U' R' F R U' R' F R F'
OLL 37,F R U' R' U' R U R' F'
OLL 38,R U R' U R U' R' U' R' F R F'
OLL 39,R B' R' U' R U B U' R'
OLL 40,R' F R U R' U' F' U R
OLL 41,R U R' U R U2 R' F R U R' U' F'
OLL 42,R' U' R U' R' U2 R F R U R' U' F'
OLL 43,R' U' F' U F R
OLL 44,F U R U' R' F'
OLL 45,F R U R' U' F'
OLL 46,R' U' R' F R F' U R
OLL 47,F' L' U' L U L' U' L U F
OLL 48,F R U R' U' R U R' U' F'
OLL 49,R B' R2 F R2 B R2 F' R
OLL 50,R' F R2 B' R2 F' R2 B R'
OLL 51,F U R U' R' U R U' R' F'
OLL 52,R U R' U R d' R U' R' F'
OLL 53,r' U' R U' R' U R U' R' U2 r
OLL 54,r U R' U R U' R' U R U2 r'
OLL 55,R U2 R2 U' R U' R' U2 F R F'
OLL 56,r U r' U R U' R' U R U' R' r U' r'
OLL 57,R U R' U' M' U R U' r'
