,UBl,URb,UFr,ULf,LUb,LFu,LDf ,LBd,FUl,FRu,FDr,FLd,RUf,RBu,RDb,RFd,BUr,BLu,BDl,BRd,DFl,DRf,DBr,DLb
UBl,,,,,,,,,,,,,,,,,,,,,,,,
URb,"[Rw' U: [U r U', R]]",,,,,,,,,,,,,,,,,,,,,,,
UFr,,,,,,,,,,,,,,,,,,,,,,,,
ULf,"[Lw' U: [L, U l U']]","[Rw' U': [U' R U, r]]",,,,,,,,,,,,,,,,,,,,,,
LUb,"[L U': [R' u' R, U2]]","[U': [Rw U R' U', l']]",,"[f 3Rw: [L u2 L', U']]",,,,,,,,,,,,,,,,,,,,
LFu,"[U': [R' u' R, U2]]","[U', R' u' R]",,"[U': [R' u' R, U']]","[S: [U', R' u' R]]",,,,,,,,,,,,,,,,,,,
LDf ,"[U: [L' u L, U2]]","[r' D r, U]",,"[U, L' u L]","[z : [U2, L d' L']]","[L, D r' D']",,,,,,,,,,,,,,,,,,
LBd,"[U': [R d' R', U2]]","[U', R d' R']",,"[U': [R d' R', U']]","[S: [U', R d' R']]","[z U: [L d' L', U2]]","[D r' D', L']",,,,,,,,,,,,,,,,,
FUl,"[Rw' U': [L F L', f']]","[Rw U: [L' d L, U2]]",,"[Lw U: [U l2 U', L']]","[Lw' U: [R d' R', U2]]","[l' U: [R' u' R, U2]]","[Lw' U: [R' u' R, U2]]","[Lw': [U2, r' D r]]",,,,,,,,,,,,,,,,
FRu,"[U'u: [R' u' R, U2]]","[U' u : [R' u' R, U]]",,"[U, L' u2 L]","[M': [U', L u L']]","[u', R U' R']","[D: [U' R U, r]]","[R2 : [d', R' U' R]]","[Rw' U' : [f, R F' R']]",,,,,,,,,,,,,,,
FDr,"[U D : [U2, R' u R]]","[R: [r, U' R' U]]",,"[3Lw': [U L U', r']]","[3Lw'r: [U' L U, r']]","[D' L D, r']","[U: [D, r U' r']]","[D' L' D, r']","[Rw' D': [R F R', f']]","[r, U' R U]",,,,,,,,,,,,,,
FLd,"[U'd': [R d' R', U2]]","[U', R d2 R']",,"[M: [U' r U, L']]","[Rw U: [R' d R, U]]","[Uw2 L': [L' u' L, U']]","[D: [U L' U', r]]","[L': [L' u L, U]]","[Rw U: [R' d R, U2]]","[L' : [L' u2 L, U]]","[U L' U', r]",,,,,,,,,,,,,
RUf,"[3Rw' U2: [r2, U R U']]","[R u2 R': [U', R' u' R]]",,"[f, R' F R]","[Rw' U: [r2, U R U']]","[Rw: [u2, R' U R]]","[f2, R' F R]","[L' U : [L F' L', f]]","[Rw' U': [U' r2 U, R]]","[U' r U: [r2, U' R U]]","[Rw : [U R' U', r]]",,,,,,,,,,,,,
RBu,"[U: [L' u' L, U2]]","[U: [L' u' L, U]]",,"[U, L' u' L]","[Rw2 U: [r', U R U']]","[u: [L U L', u2]]","[L' u: [L U L', u2]]","[3Lw U: [r2, U R' U']]","[Rw2 U2': [r', U R U']]","[R U' R', u]","[r', D R D']","[Rw R2': [R' d R, U]]","[Rw': [R, U' r2 U]]",,,,,,,,,,,
RDb,"[U': [R d R', U2]]","[U', R' u R]",,"[r' D' r, U']","[Rw' U: [r2, U R' U']]","[R' u': [R U' R', u2]]","[Rw D: [U R U', r2]]","[R d': [R' U' R, d2]]","[Lw': [r' D' r, U2]]","[D': [r, U' R U]]","[Rw: [U R U', r]]","[D': [r, U L' U']]","[z': [U2, R' u' R]]","[R, D' r' D]",,,,,,,,,,
RFd,"[U: [L d' L', U2]]","[U: [L d' L', U]]",,"[U, L d' L']","[Rw2 U: [r', U R' U']]","[R2' u': [R U' R', u2]]","[y': [R', U r U']]","[d': [R' U' R, d2]]","[Lw' U: [L d' L', U2]]","[z' l' U: [R' u' R, U2]]","[r', D R' D']","[L' U L, d']","[z' U2: [R' u' R, U]]","[z' U: [R' u' R, U2]]","[D' r' D, R']",,,,,,,,,
BUr,"[Rw' F': [u', R U R']]","[R': [r', U' R U]]",,"[3Lw Lw2': [U L U', r]]","[Lw' U' L U, r]","[U' L' U, r]","[3Lw' : [r', U' L' U]]","[U' L U, r]","[Lw U: [R' F' R, f]]","[r', U' R U]","[D: [U R2 U', r]]","[r', U L' U']","[R U R' U', r]","[U R' U', r]","[R: [U R U', r]]","[U R U', r]",,,,,,,,
BLu,"[Uw': [R' u' R, U2]]","[Uw' : [R' u' R, U]]",,"[Uw: [L' u' L, U']]","[Lw U2: [R' u' R, U]]","[u, L U L']","[D: [U L U', r]]","[z Rw' U: [R d R', U2]]","[Rw U: [R u R', U2]]","[u2, L U L']","[U L U', r]","[F R : [R u R', U']]","[r: [U, R u R']]","[u', L U L']","[Lw: [U', r' D' r]]","[Rw : [U, R u R']]","[U L U', r']",,,,,,,
BDl,"[U'D': [R' u R, U2]]","[D': [U', R' u R]]",,"[D: [U, L' u L]]","[Lw U: [R' u' R, U2]]","[U' M: [U, R' u' R]]","[U: [L' u' L, D]]","[Lw' U: [f', L' F L]]","[U2: [l, U2 Rw U2 Rw' U2]]","[U' : [U' l U, R]]","[3Lw' U : [R' F' R, f]]","[U: [U l U', L']]","[U Lw': [U' L U, l2]]","[Lw U': [L' u' L, U2]]","[U' x' : [R U R', u]]","[z' R': [U', R' u' R]]","[U' x': [R U R', u']]","[U: [U l U', L]]",,,,,,
BRd,"[U'd: [R d' R', U2]]","[r': [U r U', R']]",,"[U, L d2 L']","[Rw : [r D r', U]]","[R': [R' u' R, U']]","[D: [U' R' U, r]]","[d', R' U' R]","[Rw U' : [U2, R u' R']]","[Rr': [U r U', R2']]","[U' R' U, r]","[d2, R' U' R]","[Rw D: [r', U R' U']]","[z' Rw' U' : [U2, R' u' R]]","[D': [U' R' U, r]]","[d, R' U' R]","[U' R' U, r']","[R': [R' u2 R, U']]","[U' : [R', U' l U]]",,,,,
DFl,"[Rw U2 l' U2 Rw', U2']","[x' R : [D2, r U r']]",,"[3Lw' U : [U2, R u R']]","[Rw U': [L' U L U', l']]","[Rw U': [U' l' U, L']]","[U : [f', L' F L]]","[Rw U': [U' l' U, L]]","[Lw D: [f, L' F' L]]","[R2' F': [R f' R', F2]]","[Rw U: [R' F' R, f]]","[U: [U l2 U', L']]","[U Lw': [U' L U, l']]","[U R': [f, R' F' R]]","[U' : [b', R F' R']]","[R D : [R' F R, f']]","[U: [f, R' F' R]]","[U: [U l2 U', L]]","[D: [L' F' L, f]]","[U': [U' l2 U, R']]",,,,
DRf,"[Rw' U: [U r U', R']]","[r': [U r U', R2]]",,"[Rw' U': [r, U' R' U]]","[3Rw: [U', L u L']]","[R' F: [R f' R', F]]","[L' F' L, f]","[L': [L' F' L, f]]","[r U : [R' d' R, U2]]","[R', D r2 D']","[R: [U' R U, r]]","[D: [r2, U L' U']]","[R' F R, f']","[R D' : [U' R U, r]]","[z' f': [R' u' R, U2]]","[R' D': [U' R' U, r]]","[R: [U' R U, r']]","[R : [u2, R U' R']]","[3Lw' U : [f', R' F' R]]","[Rw': [U r U', R']]","[3Rw U' : [L u L', U2]]",,,
DBr,"[U2, Lw U2' r' U2' Lw']","[Rwr: [U' R' U, r2]]",,"[r2, Lw' U L U']","[Lw'r': [U' L U, r2]]","[r': [U' L' U, r2]]","[Lw'r': [U' L' U, r2]]","[r': [U' L U, r2]]","[U2 : [U2 Lw' U2 Lw U2, r']]","[r2, U' R U]","[U' Rw: [U' R' U, r]]","[r2, U L' U']","[Rr': [U R' U', r2]]","[r': [U R' U', r2]]","[R2 Rw': [U R U', r2]]","[r' : [U R U', r2]]","[D': [U' R2 U, r']]","[r2, U L U']"," [U r: [D2, r U' r']]","[r2, U' R' U]","[Lw' U2 : [U2 Lw' U2 Lw U2, r']]","[R: [r2, U' R U]]",,
DLb,"[Lw' U: [L', U l U']]","[R D': [r2, U' R' U]]",,"[L u L': [U, L' u' L]]","[L F' L', b']","[3Lw' U: [R' d R, U]]","[f2' 3Lw': [U, R' d R]]","[Lw2' U2: [R' u' R, U]]","[Rw U': [L' d' L, U2']]","[D': [r2, U' R U]]","[Lw': [U L' U', r]]","[L, D' r2 D]","[3Lw': [U, R' d R]]","[z U: [r', U R U']]","[Rw D': [r', U R U']]","[Rw : [r D' r', U']]","[Lw2 L : [U L' U', r']]","[3Lw: [U' r U, L]]","[UD: [f', L' F L]]","[D': [r2, U' R' U]]","[3Lw' U : [R' d R, U2]]","[3RwL u: [L' U' L, u2]]","[Lw': [U L' U', r2]]",
,,,,,,,,,,,,,,,,,,,,,,,,
,Parity Algs,,,,,,,,,,,,,,,,,,,,,,,
UBl,r' U2 r U2 r U2 l' U2 r U2 r' U2 M U2 r2 U2 r (Go Stan Jan!!!),,,,,,,,,,,,,,,,,,,,,,,
URb,R B,,,,,,,,,,,,,,,,,,,,,,,
UFr,,,,,,,,,,,,,,,,,,,,,,,,
ULf,L' B',,,,,,,,,,,,,,,,,,,,,,,
LUb,L2 D x,,,,,,,,,,,,,,,,,,,,,,,
LFu,L D x,,,,,,,,,,,,,,,,,,,,,,,
LDf ,D x,,,,,,,,,,,,,,,,,,,,,,,
LBd,L' D x,,,,,,,,,,,,,,,,,,,,,,,
FUl,Rw U2 x Rw U2 r U2 x' l' U2 l U2 r' U2 r U2 Rw' U2' Rw' (Lucas Parity),,,,,,,,,,,,,,,,,,,,,,,
FRu,R2 B,,,,,,,,,,,,,,,,,,,,,,,
FDr,x,,,,,,,,,,,,,,,,,,,,,,,
FLd,L2 B',,,,,,,,,,,,,,,,,,,,,,,
RUf,R B ,,,,,,,,,,,,,,,,,,,,,,,
RBu,R D' x,,,,,,,,,,,,,,,,,,,,,,,
RDb,D' x,,,,,,,,,,,,,,,,,,,,,,,
RFd,R' D' x,,,,,,,,,,,,,,,,,,,,,,,
BUr,l' U2 l' U2 M' U2 l' U2 l U2 r' U2 l2 (Go Stan Jan!!!),,,,,,,,,,,,,,,,,,,,,,,
BLu,B',,,,,,,,,,,,,,,,,,,,,,,
BDl, r2 U2 r U2 r' U2 l U2 r U2 r2 U2 r' U2 r' U2 l',,,,,,,,,,,,,,,,,,,,,,,
BRd,B',,,,,,,,,,,,,,,,,,,,,,,
DFl,U2 l U2 l2 U2 l' U2 l' U2 r' l2 U2 l U2 l' U2 r,,,,,,,,,,,,,,,,,,,,,,,
DRf,R' B,,,,,,,,,,,,,,,,,,,,,,,
DBr,r U2 r2 U2 r' U2 r' U2 l' r2 U2 r U2 r' U2 l U2 ,,,,,,,,,,,,,,,,,,,,,,,
DLb,L B',,,,,,,,,,,,,,,,,,,,,,,
