,UR,UL,FR,FD,FL,RU,RB,RD,RF,BL,BD,BR,LU,LF,LD,LB,DF,DR,DB,DL
UR,,M2: U/M',"E': R' E R, U",M' U M U * 2,"R E2 R', U",,"U2: L' E L, U","R' E' R, U","U2: L E' L', U","R' E2 R, U","R U R' U', M","E: R E' R', U","S, r' F r","R' E R, U","U2: L E L', U","R E' R', U","R U R' U', M2",R' U: R/S,r': U/L E' L',l F': L/S'
UL,M2: U'/M',,"L' E2' L, U'",M' U' M U' * 2,"E: L E' L', U'","S', l F' l'","L' E L, U'","U2: R' E' R, U'","L E' L', U'","E': L' E L, U'","L' U' L U, M","L E2 L', U'",,"U2: R' E R, U'","L E L', U'","U2: R E' R', U'","L' U' L U, M2",R U R' U' R' U' R' U R U,l: U'/R' E R,L U: L'/S'
FR,"u: R' E R, U'","U', L' E2' L",,"U: R, U M' U'",R' U: R'/E,R' u: R'/E,"E', R U R'","U R U': R' U R, E",,R' U: R/E',"U R U', M",U': R/S,"M: U, L E' L'","E, R U R'","U': L F2 L', S","R: R E' R', U","U R U', M2",R U' R' U' R' U' R U R U,U'D: L'/E',U': L'/E'
FD,U' M' U' M * 2,U M' U M * 2,"U2: M', U' R U",,"U2: M', U L' U'","UD: S', R' F R","U' M': U, L' E L","U: R' F' R, S'","U' M': U, l E' l'","U2: M', U L U'",U M U' M' U2 M' U M U,"U2: M', U' R' U","U'D': S, L F' L'","U M': U', R' E R","U': L F L', S","U M': U', R E' R'",,U S': U/M',"D: S', R' B' R",U' S: U'/M'
FL,"U, R E2 R'","u': L E' L', U",R' U: R/E,"U': L', U' M' U",,"M: U', R' E R","L': L' E L, U'","U: R' F2 R, S'","E', L' U' L",U: L'/S,"U' L' U, M",R U: R'/E,L u': L/E',,S U: R/E,"E, L' U' L",UD: R/E,U: R/E,UD': R/E,L' U L U L U L' U' L' U'
RU,,"l F' l', S'",R' u: R/E,"UD: S', R' F R","r': E, R U' R'",,"S': L' E L, U'",r' U: R/S,"S': L E' L', U'",S U: R/E',"UD': R' F R, S'",R UE: R'/E',M': U'/M,l': U'/M,r' U: L'/E',L M': U'/M,M/R U' R' U,"S, R B' R'","R' B: R2, E'","l: R E' R', U'"
RB,"U': L' E L, U'","U', L' E L","R U R', E'","U' M': L' E L, U","L': U', L' E L","S': U', L' E L",,"U S U', R",l U: R'/S,"L U' L', E","M: U' R' U, M",,M'R': U'/M,E R' U': R'/E',M U: L/E,U'E': R/S,M/U' R' U,UE: R'/E',"U r' U': L E' L', U'",U'E': L'/E'
RD,"U, R' E' R","U: R' E' R, U","U R u': R' U R, E'","U: S', R' F' R","U: S', R' F2 R",r' U: R'/S,"R, U S U'",,"R', U S U'","R' E2: R U R', E","U: S', R B R'",R u: R/E,l U': R'/E,M U': R'/E,l U': R/E',M U': R/E',"U: R F' R', S",,"M U': S, R2","S', R' B' R"
RF,"U': L E' L', U'","U', L E' L'",,"U' M': l E' l', U","L' U' L, E'","S': U', L E' L'",l U: R/S,"U S U', R'",,"L: U', L E' L'","M: U' R U, M","R' U R, E",r: U'/M,u': R'/S,M U: L'/E',r' U': R/E',M/U' R U,u: R/E,"r' U': S, R2",u': L/E
BL,"U, R' E2 R","E': U', L' E L",R' U: R'/E',"U': L, U' M' U",U: L/S',S U: R'/E',"E, L U' L'","R' E': R U R', E'","L2: E', L' U' L",,"U' L U, M",R U: R'/E',"L U2: r' E r, U'","E', L U' L'",S U: R/E',,UD: R'/E',U': R'/E',UD': R'/E',U2 L U' L' U' L' U' L U L U'
BD,"R: M, U R' U'","L': M, U' L U","M, U R U'",U M' U M U2 M U' M' U,"M, U' L' U","UD': S', R' F R","M2: U' R' U, M'","U: R B R', S’","M2: U' R U, M'","M, U' L U",,"M, U R' U'","U'D: S, L F' L'","U r': R U R', E","U': L' B' L, S","U M: U, R E' R'","D': S', R' B' R",U S': U'/M,,U' S: U/M
BR,"E: U, R E' R'","U', L E2' L'",U': R'/S,"U: R', U M' U'",R U: R'/E,R UE: R/E',,R u: R'/E,"E, R' U R",R U: R/E',"U R' U', M",,"M: U, l' E l","R': R' E R, U","L E: L' U' L, E","E, R' U R","U R' U', M2",U2 R' U R U R U R' U' R' U,U' R': U/M,U': L/E
LU,"r' F r, S",,"M: L E' L', U","U'D': L F' L', S",L u': L'/E',M': U/M,R'M': U/M,l U': R/E,r: U/M,"L U: r' E r, U","U'D: S, L F' L'","M: l' E l, U",,"S: R' E R, U",l U: L'/S',"S: R E' R', U",M/L' U L U',"r': L' E L, U","L B': L2, E","S, L' B L"
LF,"U, R' E R","U: R' E R, U","R U R', E","U M': R' E R, U'",,l': U/M,E R' U: R/E',M U': R/E,u': R/S,"L U' L', E'","U r': E, R U R'","R': U, R' E R","S: U, R' E R",,"U' S' U, L",r' U': L'/S',M/U L' U',u: R'/E',"l U: S', L2",u': L'/E'
LD,"U': L E L', U'","U', L E L'","U': L F2 L', S","U': S, L F L'",S' U: R'/E,r' U: L/E',M U: L'/E,l U': R'/E',M U: L/E',S' U: R/E',"U': S, L' B' L","L E2: L' U' L, E'",l U': L/S',"U' S' U, L",,"L', U' S' U","U': L' F L, S'","L B L', S","M U: S', L2",
LB,"U, R E' R'","U: R E' R', U","R: U, R E' R'","U r: E', R' U' R","L' U' L, E",L M':  U/M,U'E': R'/S,M U': R'/E',r' U': R'/E',,"U M: R E' R', U","R' U R, E'","S: U, R E' R'",r' U':  L/S',"U' S' U, L'",,M/U L U',UE: R/E,"U' r' U: R' E R, U",U'E': L/E
DF,"M2, R U R' U'",U'D R' U' R U R U R U' R' D',"M2, U R U'",,UD: R'/E,M'/R U' R' U,M'/U' R' U,"U: S, R F' R'",M'/U' R U,UD: R/E',"D': R' B' R, S'","M2, U R' U'",M'/L' U L U',"M': U L' U', M2","U': S', L' F L",M'/U L U',,U R D': R'/S',M2 U2 M' U2 M',U R D R' D' R' D' R' D R D U'
DR,R' U': R'/S,U' R' U' R U R U R U' R',U' R' U' R' U R U R U R',U S': U'/M',U: R'/E,"R B' R', S'",UE: R/E',,u: R'/E,U: R/E',U S': U/M,U' R U R U' R' U' R' U' R U2,"r': U, L' E L",u: R/E',"L B L', S",UE: R'/E,U R D': R/S',,l: U'/R' E' R,"U: R2, S'"
