,UL,FR,FD,FL,RB,RD,RF,BL,BD,BR,LU,LF,LD,LB,DF,DR,DB,DL
UL,,"L' E2 L, U2",M: U'/M,"U2, R E2 R'","L' E L, U2","U2, R' E' R","L E' L', U2","U2, R' E2 R",M': U/M',"L E2 L', U2",,"U2, R' E R","L E L', U2","U2, R E' R'",U/M',"R2, S",U'/M,"S', L2"
FR,"U2, L' E2' L",,"R, U M' U'",U R' U': R'/E,"u: R U' R', E","R u': R' U R, E",,U R' U': R/E',"R, U' M U",U2: R/S,"U' M' U, R","u': R U R', E'","D: R, U M' U'","u R': U', R' E R","R, U' M2 U",E2: R'/E',"R, U M2 U'",U2: L'/E'
FD,M: U/M,"U M' U', R",,"U: M', U L' U'","l' U: l' E l, U","R' F' R, S'","l' U: l E' l', U",l: U/M,M U' M' U2 M' U M U2,"U M' U', R'","R' F' R, S","M': U', R' E R","l': U', R' E R","M': U', R E' R'",,S': U/M',"r: M', U' R' U",L F: L'/S'
FL,"R E2 R', U2",U R' U': R/E,"U2: L', U' M' U",,"u' L: U', L E' L'","R' F2 R, S'","E', L' U2 L",L/S',l': U/M',U R U': R/E,"R' F2 R, S",,"l': U2, R' E R","E, L' U2 L",D: R/E,R/E,D': R/E,u2: L/E
RB,"U2, L' E L","U: R U' R', E'","l' U2: l' E l, U'","u' L: L E' L', U'",,"S, U' R U",S': R'/S,"L U2 L', E","l U2: l' E l, U",,"S', L' B2 L",u' R' U: R'/E',"U L F': E, L2",E: L/S',f': R'/S,E: R'/E',"r' U2: L E' L', U",U u: L'/E'
RD,"R' E' R, U2","R u': R' U R, E'","S', R' F' R","S', R' F2 R","U' R U, S",,"U R' U', S","S', R B2 R'","S', R B R'","R' u: R U' R', E","D': R' F' R, S","R F2 R', S",U R' F: R'/S',"R' B2 R, S","R F' R', S",,"R' B R, S","U: S', R F R'"
RF,"U2, L E' L'",,"l' U2: l E' l', U'","L' U2 L, E'",S': R/S,"S, U R' U'",,"u' R': R' E R, U","l U2: l E' l', U","U': R' U R, E","S', L F2 L'",E': L'/S',U M' U': L'/E',u R U': R/E,"L F: L' S' L, F",E': R/E,r' u: R/E,U' u': L/E
BL,"R' E2 R, U2",U R' U': R'/E',l: U'/M,L/S',"L' U2 L, E'","R B2 R', S'","u' R': U, R' E R",,"U2: L, U M U'",U R U': R'/E',"R B2 R', S","E', L U2 L'","l': U2, R E' R'",,D: R'/E',R'/E',D': R'/E',u2: L'/E'
BD,M': U'/M',"U' M U, R",M' U M U2 M U' M' U2,l': U'/M',"l U': l' E l, U'","R B R', S'","l U': l E' l', U'","U': M, U' L U",,"U' M U, R'","R B R', S","M: U, R' E R","l: U, R E' R'","M: U, R E' R'","UD': S', R F R'",S': U'/M,,r' U': L/E'
BR,"U2, L E2' L'",U2: R'/S,"R', U M' U'",U R U': R'/E,,"R' U': R U R', E'","u': R' U R, E'",U R U': R/E',"R', U' M U",,"R', U' M' U","U R': U', R' E R","D: R', U M' U'","u: R' U' R, E","R', U' M2 U",E2: R/E,"R', U M2 U'",U2: L/E
LU,,"U M U', R","S, R' F' R","S, R' F2 R","U2: R', U M U'","D': S, R' F' R","L F2' L', S'","S, R B2 R'","S, R B R'","U M U', R'",,"L', U M' U'","D: S, R' F' R","L, U' M U","L F L', S'","D': L F L', S'","L' B' L, S'","D: L F L', S'"
LF,"R' E R, U2","U': R U R', E","M': R' E R, U'",,u' R' U: R/E',"R F2 R', S",E': L/S',"L U2 L', E'","r': E, R U R'","U R': U', R' E R","U M' U', L'",,"l', E R' E'",S: L'/S,"F, L' S' L",E': R'/E',"l': S, R' F' R",U' u': L'/E'
LD,"U2, L E L'","D: U M' U', R","l': R' E R, U'","l': R' E R, U2","U L F': L2, E",U L F': L/S,U M' U': L/E',"l: R E' R', U2","l: R E' R', U","D: U M' U', R'","D: R' F' R, S","E R' E', l'",,"D r: R' U' R, E'","U L F: L2, E'","U: S, L' F' L",D L F: L'/S',
LB,"R E' R', U2","u R': U', R' E R","r: E', R' U' R","L' U2 L, E",E': L'/S',"S, R' B2 R",u R U': R'/E,,"M: R E' R', U","U: R' U' R, E'","U' M U, L",u' R' U: R'/E',"D r: E', R' U' R",,"L: L F L', S'",E: R/E,"l: l F' l', S'","U u: L, E"
DF,U'/M',"U' M2 U, R",,D: R'/E,f': R/S,"S, R F' R'","L F2: L' S' L, F'",D: R/E',"UD': R F R', S'","U' M2 U, R'","S', L F L'","L' S' L, F","U L F: E', L2","L: S', L F L'",,R D': R'/S',"D: R2, S'",L2: U'/M'
DR,"S, R2",E2: R/E',S': U'/M',R'/E,E: R/E',,E': R'/E,R/E',S': U/M,E2': R'/E,"D': S', L F L'",E': R'/E',"U: L' F' L, S",E: R'/E,R D': R/S',,R D: R/S',"R2, S"
DB,U/M,"U M2 U', R","r: U' R' U, M'",D': R'/E,"r' U2: L E' L', U","S, R' B R",r' u: R'/E,D': R/E',,"U M2 U', R'","S', L' B' L","l': R' F' R, S",D L F: L/S',"l: S', l F' l'",u' M' u2 M' u',R D: R'/S',,L2: U/M
DL,"L2, S'",U2: L/E',L F: L/S',u2: L'/E,U u: L/E',"U: R F R', S'",U' u': L'/E,u2: L/E',r' U': L'/E',U2: L'/E,"D: S', L F L'",U' u': L/E',,U u: L'/E,L2: U/M',"S', R2",L2: U'/M,
