,UBL,UBR,UFL,FUL,FDR,FDL,RBU,RDB,RDF,BUR,BUL,BDL,BDR,LUB,LFU,LDF,LBD,DFL,DFR,DBR,DBL
UBL,,R D R': U/R D' R',"R' D' R U': R' D R, U'",l' D': U'/R D R',D: U/R D R',[D' : [U/R D' R']],"R' UD R: D', R U' R'",U/R D R',"U2, R' D' R",R' D: U'/R D R',,[D' : [U/R D R']],D: U/R D' R',,"F: R' D' R, U2","U2, R' D R",U/R D' R',R F' R': U/R D R',"U R' D R: R D' R', U2","R D' R': U2, R' D R","R' U'D' R: D, R U' R'"
UBR,R D R': U'/R D' R',,"R' D' R U': R' D R, U2","R: R D R', U2","D': U, R' D R","D: U, R' D' R",,"R D R', U'","U, R' D' R",,"R': U2, R' D' R","D': R D R', U'","D: R D' R', U'","R: R D R', U","R': U', R' D' R","U, R' D R","R D' R', U'","U R' U' R, F2","U, R' D R U' R D' R' ","R D' R' U R' D R, U'","[R' B : [R U R', D']]"
UFL,"R' D' R U': U', R' D R",R' D' R: U/R' D R,,,"D': U', R' D R","D: U', R' D' R","U' R': R' D' R, U2","U2: R D R', U","U', R' D' R","R' D': R' D R, U'","U' R': R' D' R, U'","D: U', R' D R","D': U', R' D' R","R U R': R' D' R, U2",,"U', R' D R","U2: R D' R', U","U': F2, U R' U' R","U', R' D R U' R D' R' ","R D' R': U', R' D R","R' D' R: D, R U' R'"
FUL,l' D': U/R D R',"R: U2, R D R'",,,"R': F2, R D' R' D",R: U'/R' D R,"[R' : [R2 D' R2 D R2, U']]",R D': U'/R' D R,D R: U'/R' D' R,R D': U'/R' D' R,R U R' D: U'/R D R',"D2 R': F2, R D' R' D",R: U'/R' D' R,l': U/R D' R',,"D R': F2, R D' R' D",[D' R : [U'/R' D' R]],R D: U'/R' D' R,D' R D: U'/R' D' R,"D R: U2, R D' R'","R: U2, R D' R'"
FDR,D: U'/R D R',"D': R' D R, U","D': R' D R, U'","D' R' D: F2, D' R D R'",,"D' R' D: F', D' R D R'",U' R': U'/R D R',"D', U R U' R'",,"D' R' U: D, R U' R'","D R' U2: R' D' R, U'","D2, U R U' R'",D R: D'/R' U' R,"R U R': R' D' R, U'","R: F, R' U R U'","D, U R U' R'","U R U': R D' R', U'","R: F2, R' U R U'",,"U R D': R' D R, U'","R' D' R: D, R U R'"
FDL,D': U'/R D' R',"D: R' D' R, U","D: R' D' R, U'",R: U/R' D R,"R': F', R D' R' D",,U R D: U'/R' D' R,"R D: R' U' R, D","R U R', D","U R' U': R U R', D","D R': R' U R, D",[D' R : [D/R' U' R]],D'/R U R',"R U: R' D R, U","D R' U': D', R U R'",,"D2: R U R', D'",,"R U' R': U2, R' D R","D R: U', R D' R'","D R D: R' D' R, U"
RBU,"R' UD R: R U' R', D'",,"U' R': U2, R' D' R","R': U', R2 D' R2 D R2",U' R': U/R D R',"UD' R: R D' R', U2",,U'D R': U/R D' R',"R': R2 U R2 U' R2, D'",,"U R: R D R', U2",[U' R' : [U/R D' R']],"UD R: R D' R', U2","R: R2 D R2 D' R2, U","R U'D' R': D, R' U R","U R U: R' D R, U2","U R: R D' R', U2","U' R': U2, R' D R","[U' D' R' : [U2, R' D R]]","[R' : [U, R2 D' R2 D R2]]","[U' D R' : [U2, R' D R]]"
RDB,U'/R D R',"U', R D R'","U': R D R', U'",R D': U/R' D R,"U R U' R', D'","R D2: R' U' R, D'",U'D R': U'/R D' R',,"R' U: R U R', D'","U' R U: D, R' U' R","R' U2: R' D' R, U'","D', U' R' U' R",,"U' R: R U' R', D'",[R' : [U'/R' D' R]],U: D/R U' R',R: D'/R' U' R,"U' R': U, R' D R","D' R: F2, R' U R U'",,"U' R': U, R' D2 R"
RDF,"R' D' R, U2","R' D' R, U","R' D' R, U'",D R: U/R' D' R,,"D, R U R'","R': D', R2 U R2 U' R2","R' U: D', R U R'",,"R' U: D', R U' R'","R': R' U R, D","U R' D2: R U' R', D","D', R U R'","U R' U2: R D R', U","R' U': D', R U R'",U R': D/R U' R',"D2, R U R'","R D: R' D' R, U",,"R: R' D R U' R D' R', U","R: U', R D' R'"
BUR,R' D: U/R D R',,"R' D': U', R' D R",R D': U/R' D' R,"D' R' U: R U' R', D","U R' U': D, R U R'",,"U' R U: R' U' R, D","R' U: R U' R', D'",,"U' L' U, R","D R' U: R U' R', D","R U': D, R' U R","U R': U', R' D' R","R' F: R U R', D","R' U: R U' R', D","U' R U: R' U' R, D'","D' R U': D', R' U R","U R' U': D', R U R'","D R U': D', R' U R","R U': D', R' U R"
BUL,,"R': R' D' R, U2","U' R': U', R' D' R",R U R' D: U/R D R',"D R' U: R' D' R, U","D R': D, R' U R","U R: U2, R D R'","R' U: R' D' R, U","R': D, R' U R","R, U' L' U",,"U' R' U2: R D' R', U","D' R': D, R' U R",,"R' U': R' D' R, U'","U' R' D: U', R' D' R","U2 R: R D' R', U","U' R': U', R' D R","U'D' R': U', R' D R","[U R : [R U' R', D']]","R2 U: R' U' R, D'"
BDL,D': U'/R D R',"[D' : [U', R D R']]","D: R' D R, U'","D R' D: F2, D' R D R'","U R U' R', D2",D' R: D'/R' U' R,U' R': U'/R D' R',"U' R' U' R, D'","U R' D': R U' R', D'","D R' U: D, R U' R'","U' R' U': R D' R', U'",,"U2: L, U R' U'","UD R': U', R' D R","D R' U': D, R U R'","UD: R U' R', D",,"U'D' R': U, R' D2 R","U'D' R': U, R' D R","U R: R U' R', D2",
BDR,D: U'/R D' R',"D: U', R D' R'","D': R' D' R, U'",R: U/R' D' R,D R: D/R' U' R,D/R U R',"UD R: U2, R D' R'",,"R U R', D'","R U': R' U R, D","D' R': R' U R, D","U': R', U' L U",,"R U: R' D' R, U","F: D', R U R'",U R': U/R' D R,"D2: R U R', D","D' R: U', R D' R'","D' R D: R' D' R, U",,R U': D'/R' U R
LUB,,"R: U, R D R'","R U R': U2, R' D' R",l': U'/R D' R',"R U R': U', R' D' R","R U2: R' D R, U'","R: U, R2 D R2 D' R2","[U' R : [D', R U' R']]","U R' U': R D R', U'","U R': R' D' R, U'",,"[U D R' : [R' D R, U']]","R U2: R' D' R, U'",,"U' R' U, L","U R': R' D R, U'","R D': U, R D R'","[D' R : [U, R D' R']]","U R' D': R' D' R, U'","D R: U, R D' R'","R: U, R D' R'"
LFU,"F: U2, R' D' R","R': R' D' R, U'",,,"U R U': F, U R' U' R","D R' U': R U R', D'","[R U' D' R' : [R' U R, D]]",R': U/R' D' R,"R' U': R U R', D'","R' F: D, R U R'","[R' U' : [U', R' D' R]]","D R' U': R U R', D","F: R U R', D'","L, U' R' U",,"R' U': R U R', D","U' R U': R' U R, D'","U' R' U: D, R U' R'","R U' R': U2, R' D' R","R U' R': R' U R, D","R2 D': R U' R', D'"
LDF,"[R' D R, U2]","R' D R, U","R' D R, U'","R' D: F2, D' R D R'","U R U' R', D",,U R: U'/R' D R,[U : [D'/R U' R']],U R': D'/R U' R',"R' U: D, R U' R'","U' R' D: R' D' R, U'","U D2: R U' R', D'",U R': U'/R' D R,"U R': U', R' D R","R' U': D, R U R'",,"[D R' : [R D' R' D, F']]",,"UD R D': R' D R, U'","[U R : [R U' R', D]]","D R: F2, R' U R U'"
LBD,U'/R D' R',"U', R D' R'","U': R D' R', U'",R D: U/R' D R,"U R U': U', R D' R'","D: R U R', D","U R: U2, R D' R'",R: D/R' U' R,"R U R', D2","U' R U: D', R' U' R","U2 R: U, R D' R'",,"D': R U R', D'","R D': R D R', U","U' R U': D', R' U R","D R': F', R D' R' D",,[D' R U' : [D'/R' U R]],"D2 R: U', R D' R'","R D' R': U, R' D R",
DFL,R F' R': U'/R D R',"F2, U R' U' R","R' U' R: F2, R' U R U'",R D: U/R' D' R,"U R U': F2, U R' U' R",,"U' R': R' D R, U2","U' R': R' D R, U","R D: U, R' D' R","D' R U': R' U R, D'","[U' R' : [R' D R, U']]","U'D' R': R' D2 R, U","[D' R : [R D' R', U']]","D' R: R D' R', U","U' R' U: R U' R', D",,[D' R U' : [D/R' U R]],,"R2 U R2 U' R2, D","R U' R': R' U R, D2","R U'D': R' U R, D'"
DFR,"U' R' D R: R D' R', U2","R' D R U' R D' R', U","R' D R U' R D' R', U'",D' R D: U/R' D' R,,"R U' R': R' D R, U2","U'D' R': R' D R, U2","D' R: R' U R U', F2",,"U R' U': R U R', D'","U'D' R': R' D R, U'","U'D' R': R' D R, U","D' R D: U, R' D' R","U R' D': U', R' D' R","R U' R': R' D' R, U2","UD R D': U', R' D R","D2 R: R D' R', U'","D, R2 U R2 U' R2",,"D', R2 U R2 U' R2",[R U' R' : [U'/R D' R']]
DBR,"R D' R': R' D R, U2","U', R D' R' U R' D R","R D' R': R' D R, U'","D R: R D' R', U2","[U R D' : [U', R' D R]]","D R: R D' R', U'","[R' : [R2 D' R2 D R2, U]]",,"R: U, R' D R U' R D' R'","D R U': R' U R, D'","U R: D', R U' R'","U R: D2, R U' R' ",,"D R: R D' R', U","R U' R': D, R' U R","U R: D, R U' R'","R D' R': R' D R, U","R U' R': D2, R' U R","R2 U R2 U' R2, D'",,"R U' R': D', R' U R"
DBL,"R' D' U' R: R U' R', D","R' B: D', R U R'","R' D' R: R U' R', D","R: R D' R', U2","R' D' R: R U R', D","D R D: U, R' D' R","U'D R': R' D R, U2","U' R': R' D2 R, U","R: R D' R', U'","R U': R' U R, D'","[R2 U : [D', R' U' R]]",,R U': D/R' U R,"R: R D' R', U","R2 D2: R U' R', D","D R: R' U R U', F2",,"R U'D2: R' U R, D",[R U' R' : [U/R D' R']],"R U' R': R' U R, D'",
